Title,Destination_ID,Property_ID,Days,ID
Make nuclear oven subcritical,6,HAR11,atleast once a week,iii
Hang up christmas decoration,6, HAR11,1st of nov every year,iii
Take down christmas decoration,6,HAR11,10th of jan every year,iii
Cool down igloos and stop loopholes,3,FRE41,15th july to 25th of august,iii
Cool down igloos and stop loopholes,3,FRE42,15th july to 25th of august,iii
Cool down igloos and stop loopholes,3,FRE43,15th july to 25th of august,iii
Cool down igloos and stop loopholes,3,FRE44,15th july to 25th of august,iii
Cool down igloos and stop loopholes,3,FRE45,15th july to 25th of august,iii
Cool down igloos and stop loopholes,3,FRE46,15th july to 25th of august,iii
Cool down igloos and stop loopholes,3,FRE47,15th july to 25th of august,iii
Cool down igloos and stop loopholes,3,FRE48,15th july to 25th of august,iii
Cool down igloos and stop loopholes,3,FRE49,15th july to 25th of august,iii
Cool down igloos and stop loopholes,3,FRE50,15th july to 25th of august,iii
Pull weeds from dirthouse,4,NYG11,once a week 1st mai - 30th sept,iii
Pull weeds from dirthouse,4,NYG12,once a week 1st mai - 30th sept,iii
Pull weeds from dirthouse,4,NYG13,once a week 1st mai - 30th sept,iii
Pull weeds from dirthouse,4,NYG14,once a week 1st mai - 30th sept,iii
Pull weeds from dirthouse,4,NYG15,once a week 1st mai - 30th sept,iii
Pull weeds from dirthouse,4,NYG16,once a week 1st mai - 30th sept,iii
Pull weeds from dirthouse,4,NYG17,once a week 1st mai - 30th sept,iii
Pull weeds from dirthouse,4,NYG18,once a week 1st mai - 30th sept,iii
Pull weeds from dirthouse,4,NY19,once a week 1st mai - 30th sept,iii
Pull weeds from dirthouse,4,NYG20,once a week 1st mai - 30th sept,iii
Window cleaning,2,SUL421,once a week,iii
Window cleaning,2,SUL422,once a week,iii
Window cleaning,2,IG171,once a week,iii
Window cleaning,2,NUU41,once a week,iii
Window cleaning,2,NUU42,once a week,iii
Window cleaning,2,NUU43,once a week,iii
Window cleaning,2,NUU44,once a week,iii
Window cleaning,2,NUU45,once a week,iii
Window cleaning,2,NUU46,once a week,iii
Window cleaning,2,NUU47,once a week,iii
Window cleaning,2,NUU48,once a week,iii
Window cleaning,6,VEI2121,once a week,iii
Window cleaning,6,VEI2122,once a week,iii
Window cleaning,6,VEI2123,once a week,iii
Window cleaning,6,VEI2124,once a week,iii
Window cleaning,4,SKA151,once a week,iii
Window cleaning,4,SKA152,once a week,iii
Window cleaning,4,SKA153,once a week,iii
Window cleaning,4,SVA221,once a week,iii
Window cleaning,4,SVA222,once a week,iii
Window cleaning,4,SVA223,once a week,iii
Window cleaning,4,SVA224,once a week,iii
Window cleaning,4,SVA225,once a week,iii
